date,cloud_cover_percentage,average_rainfall_mm,average_temperature_C,average_humidity_C,average_soil_moisture,cumulative_rainfall_7d,rainfall_risk,soil_moisture_risk,flood_risk,near_rainfall_risk
01-06-2020 0.00,0,0.04,-242.11,296.18,2.5,0,0,0,0,0
02-06-2020 0.00,0,0.04,-242.36,295.14,5.756666667,0,0,0,0,0
03-06-2020 0.00,0.73,0.13,-242.99,294.5,9.013333333,0,0,1,0,0
04-06-2020 0.00,1.46,15.75,-248.7,294.18,12.27,0,0,1,0,0
05-06-2020 0.00,1.168,5.69,-247.57,295.78,10.25666667,0,0,1,0,0
06-06-2020 0.00,0.876,0,-245.63,294.52,8.243333333,0,0,1,0,0
07-06-2020 0.00,0.584,0,-243.12,296.16,6.23,21.65,0,0,0,0
08-06-2020 0.00,0.292,0,-241.51,296.71,5.883333333,21.61,0,0,0,0
09-06-2020 0.00,0,0,-240.55,296.63,5.536666667,21.57,0,0,0,0
10-06-2020 0.00,0,0.08,-239.97,296.51,5.19,21.52,0,0,0,0
11-06-2020 0.00,0,0,-240.06,297,5.583333333,5.77,0,0,0,0
12-06-2020 0.00,0,0.4,-241.01,296.95,5.976666667,0.48,0,0,0,0
13-06-2020 0.00,0.42,1.53,-242.07,297.59,6.37,2.01,0,0,0,0
14-06-2020 0.00,0.84,5.09,-243.09,298.08,11.46,7.1,0,1,0,0
15-06-2020 0.00,0.56,6.14,-244.11,298.52,16.55,13.24,0,1,0,0
16-06-2020 0.00,0.28,19.54,-246.08,299.01,21.64,32.78,0,1,0,0
17-06-2020 0.00,0,14.42,-245.52,298.88,22.69,47.12,0,1,0,0
18-06-2020 0.00,0.725,14.7,-245.75,298.68,23.74,61.82,0,1,0,0
19-06-2020 0.00,1.45,14.19,-245.65,298.27,24.79,75.61,0,1,0,0
20-06-2020 0.00,0.97,24.12,-246.03,298.67,24.41,98.2,0,1,1,1
21-06-2020 0.00,0.49,3,-245.49,298.44,24.03,96.11,0,1,1,1
22-06-2020 0.00,0.01,2.77,-245.01,298.62,23.65,92.74,0,1,1,1
23-06-2020 0.00,0.56,1.07,-244.28,298.61,24.20333333,74.27,0,1,0,0
24-06-2020 0.00,1.11,0,-243.59,299.11,24.75666667,59.85,0,1,0,0
25-06-2020 0.00,0.743333333,36.15,-244.36,299.21,25.31,81.3,0,1,1,1
26-06-2020 0.00,0.376666667,34.91,-243.91,298.73,25.16666667,102.02,1,1,1,1
27-06-2020 0.00,0.01,0,-244.21,298.4,25.02333333,77.9,0,1,0,0
28-06-2020 0.00,0.735,9.29,-245.44,298.7,24.88,84.19,0,1,1,1
29-06-2020 0.00,1.46,18.92,-246.56,298.32,24.99,100.34,1,1,1,1
30-06-2020 0.00,0.98,5.52,-244.97,298.25,25.1,104.79,1,1,1,1
01-07-2020 0.00,0.5,1.19,-243.78,298.88,25.21,105.98,1,1,1,1
02-07-2020 0.00,0.02,20.67,-243.05,299.6,25.02666667,90.5,0,1,1,1
03-07-2020 0.00,0.725,42.34,-244.64,299.13,24.84333333,97.93,0,1,1,1
04-07-2020 0.00,1.43,9.88,-244.7,299.12,24.66,107.81,1,1,1,1
05-07-2020 0.00,0.956666667,9.69,-244.24,299.19,24.73333333,108.21,1,1,1,1
06-07-2020 0.00,0.483333333,26.81,-245.85,298.78,24.80666667,116.1,1,1,1,1
07-07-2020 0.00,0.01,29.88,-245.16,298.77,24.88,140.46,1,1,1,1
08-07-2020 0.00,0.735,12.76,-243.7,299.64,24.48,152.03,1,1,1,1
09-07-2020 0.00,1.46,30.9,-244.36,299.06,24.08,162.26,1,1,1,1
10-07-2020 0.00,0.983333333,17.96,-245.69,298.41,23.68,137.88,1,1,1,1
11-07-2020 0.00,0.506666667,14.37,-243.96,297.98,23.82,142.37,1,1,1,1
12-07-2020 0.00,0.03,16.95,-242.94,298.5,23.96,149.63,1,1,1,1
13-07-2020 0.00,0.745,11.62,-242.92,299.15,24.1,134.44,1,1,1,1
